,Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
16360,150,192.168.1.1-192.168.1.10-55604-20001,192.168.1.1,192.168.1.10,55604,20001,6, 15/05/2020  19:34:03 ,118062011,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.0762974,14.94130064,11.5193701,1.13499676,887684.2932,972796.1518,2001974,203,118061624,1816332.677,492253.639,2002275,36889,118061763,1762115.866,574119.8007,2002243,471,660,66,132,680,68,272,0.559028255,0.575968505,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,18,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
1708,37,192.168.1.12-192.168.1.5-57558-20003,192.168.1.12,192.168.1.5,57558,20003,6, 19/05/2020  11:56:07 ,118420750,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.62226215,14.55825943,11.34936234,1.064002719,947366,994321.5634,2070304,203,118420448,1941318.82,287421.6991,2070509,331993,118420419,1879689.19,444592.4698,2070546,346,620,62,124,640,64,256,0.523556894,0.540445826,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,4,13,126,MASTER,1,129,0,0,0,62,64,STOP_APP
38631,115,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 19/05/2020  01:34:30 ,118449180,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.61851251,14.55476517,11.34663828,1.063747339,947593.44,991618.3572,2203443,109,118448911,1941785.426,265326.0257,2203678,602920,118449009,1880143,431142.5517,2203650,480,620,62,124,640,64,256,0.52343123,0.540316109,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
22493,101,192.168.1.12-192.168.1.9-46269-20003,192.168.1.12,192.168.1.9,46269,20003,6, 16/05/2020  00:00:01 ,118056610,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07703287,14.94198419,11.51989711,1.135048686,887643.6842,976903.7648,2002527,160,118056297,1816250.723,508675.0321,2002770,12856,118056326,1762034.716,587846.1194,2002761,546,660,66,132,680,68,272,0.55905383,0.575994855,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,4,17,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
20144,919,192.168.1.2-192.168.1.6-53664-20000,192.168.1.2,192.168.1.6,53664,20000,6, 16/05/2020  02:58:09 ,118064224,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.66943768,14.60222192,11.38363472,1.067215755,944513.792,1000119.185,2000352,387,118062989,1935458.836,351938.2067,2002966,36172,118063415,1874022.46,484165.5353,2002808,387,620,62,124,640,64,256,0.525137911,0.542077844,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
3253,373,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 15/05/2020  01:02:03 ,118053756,66,68,570,504,372,1364,1296,1024,17,8,8.636363636,2.072800882,16,7,7.636363636,2.072800882,14,5,5.636363636,2.072800882,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.38236737,15.24729124,11.82512143,1.135076126,887622.2256,969648.8121,2000488,260,118053150,1816202.308,481263.9717,2001264,34926,118052904,1761983.642,565024.7918,2001272,260,660,66,132,680,68,272,0.559067346,0.57600878,14.43283582,7,282,38.91622925,1514.472899,13.43283582,6,281,38.91622925,1514.472899,10.41791045,2,277,38.78110898,1503.974414,0,0,0,0,0,0,0,0,3,18,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
1353,157,192.168.1.1-192.168.1.3-53048-20001,192.168.1.1,192.168.1.3,53048,20001,6, 19/05/2020  13:56:19 ,118385303,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.62693977,14.56261847,11.35276057,1.064321303,947082.424,989510.0493,2072890,164,118385089,1940739.164,253284.4694,2073317,847070,118385139,1879129.19,423899.0341,2073229,478,620,62,124,640,64,256,0.523713657,0.540607646,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,2,11,126,MASTER,1,129,0,0,0,62,64,STOP_APP
14319,13,192.168.1.11-192.168.1.6-56247-20002,192.168.1.11,192.168.1.6,56247,20002,6, 15/05/2020  18:26:00 ,118037057,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07969606,14.94445935,11.52180539,1.135236708,887496.6692,973137.8444,2003815,107,118036895,1815952.231,491630.5953,2003994,154675,118036890,1761744.627,575624.8532,2004011,299,660,66,132,680,68,272,0.559146438,0.57609027,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,3,14,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
11130,641,192.168.1.1-192.168.1.5-41538-20001,192.168.1.1,192.168.1.5,41538,20001,6, 15/05/2020  21:00:06 ,118062852,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.9745421,14.85649356,11.48540779,1.118048546,901243.145,984987.2737,2002303,449,118062002,1844718.781,491526.9502,2003127,12037,118062031,1788818.652,575352.5537,2002959,12130,650,65,130,670,67,268,0.550554208,0.567494338,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,2,13,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
22323,409,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 16/05/2020  02:34:06 ,118061327,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97474845,14.85668546,11.48555615,1.118062988,901231.5038,988896.254,2001609,201,118061008,1844703.25,505762.0645,2001868,13639,118060899,1788801.5,587236.9344,2001880,13629,650,65,130,670,67,268,0.55056132,0.567501668,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,16,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
10651,162,192.168.1.1-192.168.1.8-45049-20001,192.168.1.1,192.168.1.8,45049,20001,6, 15/05/2020  19:00:02 ,118054338,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97569418,14.857565,11.48623611,1.118129179,901178.1527,965417.3218,2000746,342,118053383,1844584.109,397954.995,2001449,446453,118053642,1788691.545,504940.1645,2001665,342,650,65,130,670,67,268,0.550593914,0.567535265,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,2,16,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
1490,55,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  12:14:13 ,118622100,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.59574481,14.53354813,11.33009785,1.062196673,948976.8,1000644.061,2209608,153,118621874,1944620.885,319327.1506,2209869,102949,118621875,1882886.905,465614.9361,2209845,335,620,62,124,640,64,256,0.522668204,0.539528469,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,STOP_APP
10794,305,192.168.1.1-192.168.1.3-40709-20001,192.168.1.1,192.168.1.3,40709,20001,6, 15/05/2020  19:36:03 ,118063570,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97444495,14.85640321,11.48533794,1.118041746,901248.626,979567.7174,2001230,522,118062706,1844729.781,468603.9896,2002120,11353,118062842,1788830.939,556595.9427,2002057,11422,650,65,130,670,67,268,0.55055086,0.567490886,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,2,11,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
34880,1079,192.168.1.3-192.168.1.1-20000-41118,192.168.1.3,192.168.1.1,20000,41118,6, 16/05/2020  22:55:43 ,39,1,1,7,6,2,1000,999,997,7,7,7,-1,6,6,6,-1,2,2,2,-1,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,25820512.82,25769230.77,25615384.62,51282.05128,39,-1,39,39,0,0,0,0,0,0,0,0,0,0,10,1,4,10,1,2,25641.02564,25641.02564,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,11,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_INFO
39,39,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  19:59:32 ,90140145,6,5,48,42,30,35,30,10,8,8,8,0,7,7,7,0,5,5,5,0,7,7,7,0,6,6,6,0,2,2,2,0,0.920788401,0.798756203,0.443753446,0.122032198,9014014.5,7714546.682,20074592,2003740,90140145,18028029,8712085.04,30099016,7042843,67162762,16790690.5,29567981.74,61142663,2003740,60,6,12,50,5,20,0.066563017,0.055469181,7.545454545,7,8,0.522232968,0.272727273,6.545454545,6,7,0.522232968,0.272727273,3.636363636,2,5,1.566698904,2.454545455,2004884.8,4483058.7,10024424,0,15442586,5459944.566,20074592,7042843,1,12,11,MASTER,1,129,0,0,0,6,5,REPLAY
2068,123,192.168.1.2-192.168.1.7-33429-20000,192.168.1.2,192.168.1.7,33429,20000,6, 15/05/2020  00:30:02 ,118057777,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.67029337,14.60301933,11.38425637,1.067274035,944462.216,996946.5401,2001396,114,118057537,1935369.459,324384.5598,2001576,185710,118057600,1873930.159,467675.7659,2001550,533,620,62,124,640,64,256,0.525166589,0.542107446,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,15,126,MASTER,1,129,0,0,0,62,64,NORMAL
34081,269,192.168.1.1-192.168.1.3-40308-20000,192.168.1.1,192.168.1.3,40308,20000,6, 16/05/2020  20:02:38 ,92,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,10945652.17,10923913.04,10858695.65,21739.13043,92,-1,92,92,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,10869.56522,10869.56522,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
30587,51,192.168.1.1-192.168.1.3-40142-20000,192.168.1.1,192.168.1.3,40142,20000,6, 16/05/2020  19:27:37 ,344,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,2927325.581,2921511.628,2904069.767,5813.953488,344,-1,344,344,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2906.976744,2906.976744,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
14925,20,192.168.1.2-192.168.1.6-55043-20000,192.168.1.2,192.168.1.6,55043,20000,6, 15/05/2020  18:30:00 ,118053952,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.67080109,14.60349248,11.38462523,1.067308615,944431.616,992853.8617,2002873,100,118053736,1935307.148,297141.4309,2003119,364457,118053811,1873870.016,449937.1505,2003091,411,620,62,124,640,64,256,0.525183604,0.542125011,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
2175,255,192.168.1.1-192.168.1.6-41489-20001,192.168.1.1,192.168.1.6,41489,20001,6, 15/05/2020  00:32:02 ,118044731,65,67,556,491,361,1357,1290,1022,17,8,8.553846154,1.976666775,16,7,7.553846154,1.976666775,14,5,5.553846154,1.976666775,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,16.2057212,15.08750103,11.71589776,1.118220177,901104.8168,976775.1879,2000744,331,118044012,1844437.688,451711.8066,2001456,139208,118044019,1788545.742,546979.9819,2001530,331,650,65,130,670,67,268,0.550638724,0.567581454,14.49242424,7,282,39.2067326,1537.167881,13.49242424,6,281,39.2067326,1537.167881,10.47727273,2,277,39.069026,1526.388793,0,0,0,0,0,0,0,0,2,14,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
